               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.081312,            0.044043,            0.027004,             0.00625,                   1,           0.0087281,          0.00087281,            0.059492,            0.024255,            0.015923,            0.062941,          0.00094088,          0.00094088
                  39,             0.11022,             0.02247,            0.031105,             0.00625,                   1,           0.0087281,          0.00087281,            0.059492,            0.024255,            0.015923,            0.061888,          0.00088842,          0.00088842
                  40,             0.09972,            0.026682,            0.031802,           0.0059524,                   1,           0.0088839,          0.00088839,            0.058245,            0.024533,            0.015782,            0.060832,            0.000832,            0.000832
                  41,            0.077659,            0.023657,             0.02483,           0.0059524,                   1,           0.0088839,          0.00088839,            0.058245,            0.024533,            0.015782,            0.059772,          0.00077162,          0.00077162
                  42,            0.094045,            0.025118,            0.028989,                   0,                   0,                   0,                   0,              0.0576,            0.024678,            0.015892,            0.058707,          0.00070728,          0.00070728
                  43,             0.10179,            0.031261,            0.029203,                   0,                   0,                   0,                   0,              0.0576,            0.024678,            0.015892,            0.057639,          0.00063898,          0.00063898
                  44,            0.079219,            0.029118,            0.024626,           0.0060241,                   1,           0.0085776,          0.00085776,             0.05596,            0.025051,            0.015724,            0.056567,          0.00056672,          0.00056672
                  45,             0.10848,            0.024897,            0.029246,           0.0060241,                   1,           0.0085776,          0.00085776,             0.05596,            0.025051,            0.015724,             0.05549,           0.0004905,           0.0004905
                  46,             0.08132,            0.024855,            0.027761,           0.0059524,                   1,            0.008964,           0.0008964,            0.054086,             0.02546,            0.015587,             0.05441,          0.00041032,          0.00041032
                  47,            0.067325,            0.023769,            0.021507,           0.0059524,                   1,            0.008964,           0.0008964,            0.054086,             0.02546,            0.015587,            0.053326,          0.00032618,          0.00032618
                  48,            0.086242,            0.023606,            0.026887,                   0,                   0,                   0,                   0,            0.052735,            0.025703,            0.015461,            0.052238,          0.00023808,          0.00023808
                  49,            0.091041,            0.030876,            0.026017,                   0,                   0,                   0,                   0,            0.052735,            0.025703,            0.015461,            0.051146,          0.00014602,          0.00014602
